time_ns,time_s,q0,q1,q2,q3,q4,q5
1778147910676734713,1778147910.676735,-2.2685330549823206,-0.9850953382304688,-1.9156886339187622,-1.2381783884814759,1.01762056350708,0.7405710220336914
1778147910696274658,1778147910.6962748,-2.2684763113604944,-0.985123948459961,-1.915684461593628,-1.2382103663733979,1.017608642578125,0.7405306696891785
1778147910716390754,1778147910.7163908,-2.2685330549823206,-0.9850710195354004,-1.915696382522583,-1.2381902200034638,1.0176329612731934,0.7405911684036255
1778147910736353979,1778147910.736354,-2.268484894429342,-0.985136405830719,-1.915724754333496,-1.2381902796081086,1.0176373720169067,0.7405911087989807
1778147910756483980,1778147910.7564843,-2.2685697714435022,-0.9850381773761292,-1.9156723022460938,-1.2382062536529084,1.0176414251327515,0.7405669093132019
1778147910776310124,1778147910.7763102,-2.2685492674456995,-0.9850994509509583,-1.9156886339187622,-1.238214598303177,1.0176329612731934,0.7405788898468018
1778147910796328890,1778147910.796329,-2.268512550984518,-0.9850667876056214,-1.915676236152649,-1.2381986242583771,1.0175477266311646,0.7405383586883545
1778147910816413943,1778147910.816414,-2.2684806028949183,-0.9850917619517823,-1.9156886339187622,-1.2381456357291718,1.0176490545272827,0.740578830242157
1778147910836331751,1778147910.8363318,-2.2685368696795862,-0.9850877088359375,-1.9156723022460938,-1.2381909650615235,1.0176044702529907,0.7405989766120911
1778147910856552428,1778147910.8565526,-2.2684806028949183,-0.9851113718799134,-1.9156804084777832,-1.2381659311107178,1.0176372528076172,0.7405182719230652
1778147910876319487,1778147910.8763196,-2.2685368696795862,-0.9850507539561768,-1.9156681299209595,-1.2382346850684662,1.0176289081573486,0.7405301332473755
1778147910896406371,1778147910.8964064,-2.2685168425189417,-0.9851113718799134,-1.9156923294067383,-1.2381985944560547,1.0176372528076172,0.7405669093132019
1778147910916370483,1778147910.9163706,-2.268545452748434,-0.9851077956012269,-1.9157328605651855,-1.238214598303177,1.0176169872283936,0.7405468225479126
1778147910936465882,1778147910.936466,-2.268545452748434,-0.9850834173015137,-1.9156886339187622,-1.2382021707347413,1.017600178718567,0.7405384182929993
1778147910956302024,1778147910.9563022,-2.268528763447897,-0.9851036828807374,-1.9157207012176514,-1.2381575566581269,1.0175960063934326,0.7405710220336914
1778147910976342263,1778147910.9763424,-2.268528763447897,-0.9850667280009766,-1.9157207012176514,-1.238178328876831,1.0175764560699463,0.7405223250389099
1778147910996222828,1778147910.9962227,-2.268496815358297,-0.9851154249957581,-1.9156886339187622,-1.2381493908217927,1.0175639390945435,0.7405911087989807
1778147911016289691,1778147911.01629,-2.2685697714435022,-0.9850953382304688,-1.9156360626220703,-1.238178328876831,1.0176128149032593,0.7406030297279358
1778147911036226701,1778147911.036227,-2.2685654799090784,-0.9851072591594239,-1.9156723022460938,-1.2381535035422822,1.0176044702529907,0.740587055683136
1778147911056306013,1778147911.0563061,-2.268557850514547,-0.9850877088359375,-1.9156763553619385,-1.2381825906089325,1.0176079273223877,0.7405911684036255
1778147911076316544,1778147911.0763168,-2.2685206572162073,-0.9851037424853821,-1.9156079292297363,-1.2382026773742218,1.0176455974578857,0.7405869960784912
1778147911098723361,1778147911.0987234,-2.2685087362872522,-0.9851364654353638,-1.9156723022460938,-1.238170103435852,1.0175724029541016,0.7406071424484253
1778147911116396967,1778147911.1163971,-2.268468205128805,-0.9850542706302186,-1.915684461593628,-1.238141582613327,1.0175961256027222,0.7405747771263123
1778147911136327348,1778147911.1363275,-2.2685492674456995,-0.9850869339755555,-1.9156200885772705,-1.2381575864604493,1.0176615715026855,0.7405424118041992
1778147911156362018,1778147911.156362,-2.2684925238238733,-0.9851197761348267,-1.9157047271728516,-1.2381861072829743,1.0176247358322144,0.7405633330345154
1778147911179874668,1778147911.1798747,-2.2684882322894495,-0.9850752514651795,-1.9156640768051147,-1.2381742161563416,1.017588496208191,0.7405509352684021
1778147911196283328,1778147911.1962836,-2.268484417592184,-0.9850793045810242,-1.9156886339187622,-1.2381825906089325,1.0176162719726562,0.740534245967865
1778147911216357244,1778147911.2163572,-2.2685535589801233,-0.9851113718799134,-1.915676236152649,-1.2381575566581269,1.0176329612731934,0.7406030893325806
1778147911236263022,1778147911.236263,-2.2685087362872522,-0.9850953382304688,-1.915704607963562,-1.2381456655314942,1.0176609754562378,0.7405989766120911
1778147911257651067,1778147911.257651,-2.2685211340533655,-0.9850500983050843,-1.915684461593628,-1.2381985646537323,1.017588496208191,0.7405751347541809
1778147911276659254,1778147911.2766593,-2.268512550984518,-0.9850869339755555,-1.915648102760315,-1.2381742161563416,1.0175765752792358,0.7405829429626465
1778147911296362730,1778147911.2963629,-2.268500630055563,-0.9850953382304688,-1.915704607963562,-1.2381333273700257,1.0176372528076172,0.7405911684036255
1778147911316312317,1778147911.3163123,-2.2685211340533655,-0.9851072591594239,-1.9156639575958252,-1.2382103365710755,1.01762056350708,0.740542471408844
1778147911336306412,1778147911.3363066,-2.268524471913473,-0.9851280611804505,-1.9156723022460938,-1.2381701630404969,1.0176002979278564,0.7405550479888916
1778147911356346830,1778147911.356347,-2.268512550984518,-0.9850710195354004,-1.915656328201294,-1.2382069391063233,1.0176080465316772,0.7405669689178467
1778147911376326386,1778147911.3763266,-2.2685654799090784,-0.985087053184845,-1.9156640768051147,-1.2381826502135773,1.0176002979278564,0.7405549883842468
1778147911396317709,1778147911.3963177,-2.2685087362872522,-0.9850828808597107,-1.9156723022460938,-1.238174245958664,1.0176008939743042,0.7405954003334045
1778147911416488737,1778147911.416489,-2.2685492674456995,-0.9851197761348267,-1.9156640768051147,-1.2381866735270997,1.0176080465316772,0.7405509352684021
1778147911436457987,1778147911.436458,-2.2685697714435022,-0.9850751918605347,-1.915684461593628,-1.2381825906089325,1.0176045894622803,0.7405830025672913
1778147911456319141,1778147911.4563193,-2.268512550984518,-0.9851197165301819,-1.9156723022460938,-1.2382145685008545,1.0175926685333252,0.7405669093132019
1778147911476315816,1778147911.476316,-2.2685163656817835,-0.9850953382304688,-1.9156886339187622,-1.2382062536529084,1.0176289081573486,0.7405509352684021
1778147911496286514,1778147911.4962866,-2.268524948750631,-0.9850953382304688,-1.9156603813171387,-1.2382103663733979,1.0176126956939697,0.7405994534492493
1778147911516305829,1778147911.516306,-2.268484894429342,-0.9850994509509583,-1.9156804084777832,-1.2381783586791535,1.0176002979278564,0.7405751347541809
1778147911536455069,1778147911.5364554,-2.2685211340533655,-0.9851077956012269,-1.915684461593628,-1.2382221978953858,1.0176372528076172,0.7405710220336914
1778147911556263257,1778147911.5562632,-2.268545452748434,-0.9851197165301819,-1.9156723022460938,-1.2381535035422822,1.0176329612731934,0.7405383586883545
1778147911576214869,1778147911.5762148,-2.268508259450094,-0.9850917619517823,-1.9156723022460938,-1.238210306768753,1.0175681114196777,0.740587055683136
1778147911596332880,1778147911.596333,-2.268528763447897,-0.9851036828807374,-1.9156845808029175,-1.238174245958664,1.0176209211349487,0.7406030297279358
1778147911616360072,1778147911.6163602,-2.2684925238238733,-0.9850953382304688,-1.9156923294067383,-1.2382145685008545,1.0176329612731934,0.7405591011047363
1778147911636227995,1778147911.6362283,-2.268528763447897,-0.9850834173015137,-1.915684461593628,-1.2382221978953858,1.0176126956939697,0.7406071424484253
1778147911656260735,1778147911.6562607,-2.2685774008380335,-0.9850953382304688,-1.9156723022460938,-1.238186166887619,1.017641305923462,0.7405508756637573
1778147911676380168,1778147911.6763802,-2.268520180379049,-0.9850667280009766,-1.9156521558761597,-1.2381742757609864,1.0176162719726562,0.7405994534492493
1778147911696237327,1778147911.6962373,-2.268545452748434,-0.9851037424853821,-1.915704607963562,-1.2381782692721863,1.0176126956939697,0.7405549883842468
1778147911716194376,1778147911.7161944,-2.268484417592184,-0.9850953382304688,-1.9156681299209595,-1.2381741863540192,1.017608642578125,0.7405669093132019
1778147911737440368,1778147911.7374403,-2.268585507069723,-0.985123948459961,-1.9156967401504517,-1.238174245958664,1.0176002979278564,0.7405627965927124
1778147911756198549,1778147911.756199,-2.268500630055563,-0.9850953382304688,-1.9156723022460938,-1.238178328876831,1.01762056350708,0.7405306696891785
1778147911776261398,1778147911.7762616,-2.268557373677389,-0.9850752514651795,-1.9156723022460938,-1.2381861370852967,1.017649531364441,0.7405751347541809
1778147911796309049,1778147911.796309,-2.2685211340533655,-0.9850751918605347,-1.9156763553619385,-1.2381576162627717,1.0175604820251465,0.7405834794044495
1778147911816193871,1778147911.8161938,-2.2685940901385706,-0.9850917619517823,-1.9157004356384277,-1.2381902200034638,1.0176454782485962,0.7405427098274231
1778147911836174525,1778147911.8361747,-2.2685373465167444,-0.9850834173015137,-1.915757179260254,-1.2381825608066102,1.017628788948059,0.7405550479888916
1778147911856236194,1778147911.8562365,-2.2685373465167444,-0.9850667280009766,-1.915724754333496,-1.2381659311107178,1.0176002979278564,0.7405549883842468
1778147911876248135,1778147911.8762481,-2.2684877554522913,-0.9850710195354004,-1.9157123565673828,-1.2381415528110047,1.0176122188568115,0.7405549883842468
1778147911896292499,1778147911.8962927,-2.268528763447897,-0.9850994509509583,-1.9156723022460938,-1.2382026475718995,1.0176329612731934,0.74057936668396
1778147911918642525,1778147911.9186425,-2.268524471913473,-0.9850953382304688,-1.9156723022460938,-1.2381985944560547,1.0176162719726562,0.7406030297279358
1778147911936282944,1778147911.9362829,-2.2685659567462366,-0.9851197761348267,-1.915696382522583,-1.2381575268558045,1.0176533460617065,0.7406070828437805
1778147911956299458,1778147911.9562995,-2.268524471913473,-0.9850626152804871,-1.9157452583312988,-1.2382263404181977,1.0175760984420776,0.7405669093132019
1778147911976234663,1778147911.976235,-2.268520180379049,-0.9850626748851319,-1.9157452583312988,-1.2381700736335297,1.01762056350708,0.7405751347541809
1778147911996313403,1778147911.9963136,-2.268528763447897,-0.98513217390094,-1.915716528892517,-1.2381575864604493,1.0176002979278564,0.740587055683136
1778147912016266180,1778147912.0162663,-2.268512550984518,-0.9851154846004029,-1.9156639575958252,-1.2381943625262757,1.0176650285720825,0.740587055683136
1778147912036299065,1778147912.0362992,-2.268524471913473,-0.9850828808597107,-1.9157129526138306,-1.2381783586791535,1.0176039934158325,0.7405509352684021
1778147912056206330,1778147912.0562065,-2.26854116121401,-0.9850953382304688,-1.9156603813171387,-1.2382103365710755,1.0176246166229248,0.7405751347541809
1778147912076277258,1778147912.0762773,-2.268528763447897,-0.9850877088359375,-1.9156723022460938,-1.238174245958664,1.0176122188568115,0.7405829429626465
1778147912097553139,1778147912.0975533,-2.2684806028949183,-0.985030547981598,-1.9156681299209595,-1.238178328876831,1.0176080465316772,0.74057936668396
