time_ns,time_s,qd0,qd1,qd2,qd3,qd4,qd5
1778147625233838905,1778147625.233839,-0.0,-1.7003292995809716e-08,4.2856994696194306e-05,0.0,4.565111572982419e-19,0.0
1778147625253867699,1778147625.2538679,-0.0,-8.418339437273482e-15,3.2602042593365965e-11,0.0,3.56811927321796e-39,-2.451725781607364e-17
1778147625273926384,1778147625.2739265,-0.0,-4.167924403655674e-21,6.159772835032034e-30,0.0,0.0,-1.916283945651096e-37
1778147625293967941,1778147625.293968,-0.0,-2.063542068552576e-27,-0.0,0.0,0.0,0.0
1778147625316721121,1778147625.3167212,-0.0,-2.39208164234417e-34,-0.0,0.0,0.0,0.0
1778147625333886224,1778147625.3338864,-0.0,-5.058253053688649e-40,-0.0,0.0,0.0,0.0
1778147625354019865,1778147625.3540199,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625373961221,1778147625.3739612,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625393990289,1778147625.3939905,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625413920261,1778147625.4139204,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625434061508,1778147625.4340618,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625456068822,1778147625.456069,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625473911204,1778147625.4739115,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625493921476,1778147625.4939218,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625513905518,1778147625.5139055,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625533969757,1778147625.5339699,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625553819693,1778147625.5538197,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625573999145,1778147625.5739992,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625593903333,1778147625.5939035,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625613949607,1778147625.6139498,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625634876334,1778147625.6348765,-0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625653868115,1778147625.6538682,-2.2260692844611185e-08,-0.0,-0.0,0.0,0.0,0.0
1778147625673848490,1778147625.6738486,-1.1021281848581314e-14,-0.0,-0.0,0.0,0.0,0.0
1778147625695256550,1778147625.6952567,-1.2776001460563456e-21,-0.0,-0.0,8.539365681127801e-26,0.0,0.0
1778147625714206048,1778147625.714206,-2.701587251688512e-27,-0.0,-0.0,6.866362475191604e-44,0.0,0.0
1778147625735256186,1778147625.7352562,-3.131711641842429e-34,-0.0,-0.0,-3.0001769118825905e-05,0.0,0.0
1778147625753909956,1778147625.75391,-6.6222562827062205e-40,-0.0,-0.0,-2.3077911464497447e-05,0.0,0.0
1778147625774913351,1778147625.7749133,-0.0,-0.0,-0.0,-1.8367989468970336e-05,0.0,0.0
1778147625793855008,1778147625.7938552,-0.0,-0.0,-0.0,-1.5254719983204268e-05,0.0,0.0
1778147625813897486,1778147625.8138976,1.6614515985224898e-08,-0.0,-0.0,-1.3043849321547896e-05,0.0,0.0
1778147625833899785,1778147625.8339,8.225855435174678e-15,-0.0,-0.0,-1.1392727174097672e-05,0.0,0.0
1778147625854224847,1778147625.854225,4.072624957595182e-21,-0.0,-0.0,-1.011263611871982e-05,0.0,0.0
1778147625873943137,1778147625.873943,2.0163585182520386e-27,-0.0,-0.0,-2.5592202767985995e-22,0.0,0.0
1778147625894325794,1778147625.894326,9.982998732018551e-34,-0.0,-0.0,-1.999652908591514e-42,0.0,0.0
1778147625913887737,1778147625.9138877,4.9425898784432785e-40,-0.0,-0.0,0.0,-5.603411068477726e-07,0.0
1778147625933906825,1778147625.933907,0.0,-0.0,-0.0,0.0,3.655327342894088e-12,0.0
1778147625953912767,1778147625.953913,0.0,-0.0,-0.0,0.0,2.8570263831092984e-32,0.0
1778147625973941765,1778147625.9739418,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147625994014488,1778147625.9940145,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626017190532,1778147626.0171907,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626033927819,1778147626.0339282,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626057428854,1778147626.0574288,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626073964482,1778147626.0739646,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626093829372,1778147626.0938294,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626113900126,1778147626.1139002,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626133878568,1778147626.1338787,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626153815401,1778147626.1538155,0.0,-0.0,-0.0,0.0,0.0,0.0
1778147626173871698,1778147626.1738718,0.0,-0.0,-0.0,0.0,0.0,0.0
