time_ns,time_s,x,y,z,rx,ry,rz
1778147017445750253,1778147017.4457505,-0.40750884720386915,-0.03394069114190424,0.8091975800883816,-1.8082256171943085,-1.749189654416546,0.7557335831124391
1778147017465817311,1778147017.4658175,-0.40749862447608753,-0.03391447227547156,0.8092137495772519,-1.8082309155750766,-1.7490672084016896,0.7558309191624883
1778147017485783245,1778147017.4857833,-0.4075015605858374,-0.0339357820805878,0.8092148431099989,-1.8082416167532076,-1.7491375991053029,0.7558021347895276
1778147017505835486,1778147017.5058355,-0.40752248017459475,-0.033914320592828014,0.8092261572910905,-1.80831020011689,-1.7489700478445458,0.7557998743951553
1778147017525822433,1778147017.5258226,-0.4074964547108175,-0.03392580086300439,0.8092250446853905,-1.8082298592502193,-1.7491393151764343,0.7558330244721165
1778147017545756601,1778147017.5457568,-0.40750705045561986,-0.033928095305351166,0.8091961288237763,-1.808262406987876,-1.7491271259100156,0.7557323155457785
1778147017565783790,1778147017.565784,-0.40751965695697234,-0.033923501278250945,0.8092141047525477,-1.8082391252954262,-1.7490986380760827,0.7557620548955913
1778147017585706022,1778147017.585706,-0.40751759982292624,-0.03392044708008044,0.809203745070589,-1.808251552721916,-1.7491287286472164,0.7556929705419735
1778147017605744806,1778147017.605745,-0.4075064990090606,-0.03390448966452619,0.8092340815524652,-1.8082934963111499,-1.7490209089714126,0.7558440455274142
1778147017625675068,1778147017.6256752,-0.40750493115711006,-0.03392904715006987,0.8092051002137477,-1.8082680941867004,-1.7491469039343577,0.7558218029820648
1778147017645824778,1778147017.645825,-0.40749986354202744,-0.033927765582859544,0.8092159402925363,-1.808238020370319,-1.7490977366394393,0.7558350919839056
1778147017665626150,1778147017.6656263,-0.4075057491123152,-0.03392063806115623,0.809207398116328,-1.808345254382323,-1.7491032419263146,0.755814763040108
1778147017685718809,1778147017.685719,-0.40749789271877623,-0.03391559486019617,0.8092441033277186,-1.808309539722571,-1.7490124513523468,0.7558825699138031
1778147017705891661,1778147017.7058916,-0.4075002319096306,-0.03389161637039777,0.8091869449596807,-1.8083286889992676,-1.7490375003452587,0.7557015538735842
