time_ns,time_s,msg_stamp_ns,frame_id,x,y,z,qx,qy,qz,qw
1778147879294358602,1778147879.2943587,1778147879236572266,robot_b_base,-0.6587874046599247,-0.12473845296538355,0.3172190751739893,0.9962034795788567,0.012547248863907899,-0.08455204874414747,0.016496814058875698
1778147879341318070,1778147879.3413184,1778147879283037109,robot_b_base,-0.6620518646654798,-0.12421521066639374,0.3176007055620772,0.996175042538723,0.01249707115394906,-0.08495825291418904,0.016161778903187114
1778147879909806590,1778147879.9098067,1778147879422431152,robot_b_base,-0.6715582035917463,-0.12419141216232576,0.318140155914339,0.9958989239249804,0.012298894286127458,-0.08820949097497596,0.01591088389564127
1778147879910561391,1778147879.9105613,1778147879468895996,robot_b_base,-0.6742111059690428,-0.12399025549657017,0.318249862668894,0.9957227331921615,0.012204726143471425,-0.09016476851276886,0.016049853056437618
1778147879911758578,1778147879.9117587,1778147879515360596,robot_b_base,-0.6751927255670914,-0.1240644919585705,0.3179270459077742,0.9955473427860676,0.012110046168489295,-0.09207561589788807,0.016152894800057983
1778147879913352427,1778147879.9133525,1778147879561825195,robot_b_base,-0.6753399489405758,-0.12429201952444113,0.31748379722576525,0.9954400329739339,0.012062955982567767,-0.0932074403280741,0.016309473115474406
1778147879914622911,1778147879.914623,1778147879608289795,robot_b_base,-0.6736885454985274,-0.1250405684066942,0.31710267281323806,0.9953732117946146,0.012067063792236635,-0.09384498585165793,0.016723451904729163
1778147879915405278,1778147879.9154055,1778147879654754150,robot_b_base,-0.6716362278616421,-0.12520131696943793,0.3168181048454181,0.9953582640017657,0.012097173122567906,-0.09393263267412987,0.01709518074607104
1778147879916191657,1778147879.9161918,1778147879701218750,robot_b_base,-0.6689132110844989,-0.12548080917826387,0.31650576430306476,0.995432674916236,0.01216806288811029,-0.09308112868410683,0.017367539766785487
1778147879917272363,1778147879.9172723,1778147879747683350,robot_b_base,-0.6650133450992719,-0.1259633700935603,0.3159280960666752,0.995558199877277,0.01224523318266472,-0.09170987349329886,0.017413328954021787
1778147879918365264,1778147879.9183652,1778147879794147705,robot_b_base,-0.6618247579196745,-0.12568891071469368,0.3157053064732085,0.9957195700988017,0.012338241283593466,-0.08993130565099383,0.017397292553521036
1778147879919763514,1778147879.9197636,1778147879840612305,robot_b_base,-0.6591858046921011,-0.12581743280099522,0.3158048754663058,0.9958761009147648,0.012443044310817226,-0.08814375842171553,0.017511142920408916
1778147879955724720,1778147879.955725,1778147879887076660,robot_b_base,-0.6572483259945917,-0.12557336031972854,0.3158010575691378,0.9960416923786352,0.012553168655762729,-0.08621672939578814,0.017607969005478646
1778147879992282117,1778147879.9922822,1778147879933541016,robot_b_base,-0.6561134045922906,-0.12557340633287584,0.3160439319756861,0.9961703993332733,0.012624280154052765,-0.08472442816831804,0.017519540928066294
1778147880038561276,1778147880.0385613,1778147879980005615,robot_b_base,-0.6562153966673232,-0.12522394514412571,0.3163050116935387,0.9962694083803054,0.012669811705026719,-0.0835819697066437,0.017343475340110683
1778147880085992412,1778147880.0859926,1778147880026469971,robot_b_base,-0.6570591422041875,-0.12486040192320047,0.31656975291688,0.9963358421408061,0.012692812479924124,-0.08282555889315574,0.017137939518991275
1778147880131666472,1778147880.1316667,1778147880072934326,robot_b_base,-0.6590533788780598,-0.12458163658101384,0.31697012274840736,0.9963304734542067,0.012667587178142268,-0.0829414213499721,0.01690681892157307
1778147880178688475,1778147880.1786885,1778147880119398682,robot_b_base,-0.6616176005728158,-0.12399774569861077,0.31718230531046077,0.9962947447951119,0.012608221989712032,-0.08345562076175812,0.016521912576051363
1778147880235466966,1778147880.2354672,1778147880165862793,robot_b_base,-0.6643705527457258,-0.12409097074087738,0.31722034226672424,0.996204082060458,0.012523425732878762,-0.08459759582702482,0.01624307465600636
1778147880273379826,1778147880.27338,1778147880212327148,robot_b_base,-0.6672562648311302,-0.12371961379016938,0.3173367430848736,0.9960776020670093,0.012424139564866892,-0.08612503496057144,0.01604773409393686
1778147880319095110,1778147880.3190951,1778147880258791504,robot_b_base,-0.669694031230011,-0.12362124732780277,0.3175209039806724,0.9959413799998138,0.012337930046411563,-0.08769987170789745,0.016039812612834416
1778147880368862275,1778147880.3688624,1778147880305256836,robot_b_base,-0.6714580029372603,-0.12365030776292685,0.3174427377973743,0.9958065591542917,0.012269962164368724,-0.08919946162977523,0.016192616179405327
1778147880420654124,1778147880.4206543,1778147880351722168,robot_b_base,-0.6722097402365563,-0.12412372690221063,0.3171923730547773,0.9956886630355529,0.01222823690725006,-0.0904583227537127,0.01648782487772683
1778147880456694884,1778147880.4566948,1778147880398187500,robot_b_base,-0.6722610466711356,-0.12432800368346808,0.317017000800958,0.9955967360420529,0.012212033777299576,-0.09139753745458755,0.016866996195831527
1778147880504453459,1778147880.5044534,1778147880444652832,robot_b_base,-0.6718378895986257,-0.12495757247901351,0.31682603069937104,0.9955399004162083,0.012225080271083773,-0.09192856629646122,0.017320299949154395
1778147880558211526,1778147880.5582118,1778147880491117920,robot_b_base,-0.6699241899375601,-0.12544918860791832,0.31655437245745405,0.9955328047914838,0.01226002675938695,-0.09192819370605954,0.0177012296127105
1778147880597151308,1778147880.5971513,1778147880537583252,robot_b_base,-0.6679443392437958,-0.12598821566869134,0.31629725666071884,0.9955821509582995,0.012310324936807334,-0.09134391400584953,0.017914406696515096
1778147880645342471,1778147880.6453426,1778147880584048584,robot_b_base,-0.6650431459723145,-0.1259381355074498,0.31593770033399293,0.995705072770022,0.012396584576283625,-0.08995301463466657,0.018060672994766692
1778147880696441757,1778147880.696442,1778147880630513672,robot_b_base,-0.6622011494451192,-0.12626064044679275,0.3157491226641751,0.9958017580802583,0.012460092093794622,-0.08885377685036898,0.018127632186955487
1778147880734919679,1778147880.7349198,1778147880676979004,robot_b_base,-0.6604207146421455,-0.1260856147794589,0.3159040287925083,0.9959230669766795,0.012545638436258527,-0.08744311130443393,0.01826345819913431
1778147880784828208,1778147880.7848282,1778147880723444092,robot_b_base,-0.6590164911357859,-0.12582860040262056,0.3160244836662949,0.9960386072916014,0.01261786403337536,-0.08610067333375336,0.018290881425358115
1778147880830401940,1778147880.8304021,1778147880769909424,robot_b_base,-0.6581420025212252,-0.12569603146654862,0.3162536205774897,0.9961453025761821,0.012670564214799574,-0.08487712559680956,0.018162227515055616
1778147880877086418,1778147880.8770866,1778147880816374512,robot_b_base,-0.6581634625234174,-0.12541396684281658,0.3164279138372772,0.9962161958281973,0.012698214131079924,-0.08407322250491736,0.01799277035686265
1778147880922686541,1778147880.9226866,1778147880862839600,robot_b_base,-0.6589172178338729,-0.1253703558710394,0.31657239409028265,0.9962533268737457,0.012701683711523944,-0.08367586602643336,0.017785538187309595
