time_ns,time_s,fx,fy,fz,tx,ty,tz
1778147816900372462,1778147816.9003725,0.28356090539298207,-0.6762055436101677,-0.049879014568718114,-0.07925932400186307,-0.013537205105249098,-0.09713763708519309
1778147816920508353,1778147816.9205086,-0.21780746143707952,0.21865099173600716,-0.46936263324349237,-0.08372475858355284,-0.007511619207042561,-0.08828813719636991
1778147816940362006,1778147816.940362,0.1226967128255169,0.19982017886285167,-0.37294643455681786,-0.07548680678308044,-0.00468773127490388,-0.09155431937333898
1778147816960396261,1778147816.9603963,0.017738094238071656,-0.35640607877529534,-0.08484649853244805,-0.0721767182823363,-0.017925564217419344,-0.08688704581141397
1778147816980608734,1778147816.980609,-0.08889206541066665,0.15998543979124072,0.07536399425968532,-0.07648336579979026,-0.02098665059703364,-0.10132175894954772
1778147817000444309,1778147817.0004444,-0.19844620438951965,0.4496401116903616,-0.07179361736413734,-0.08338633629092121,-0.018807360913150942,-0.079296794816584
1778147817020529252,1778147817.0205293,-0.2094945212372811,-0.399322411344228,0.10344821223768466,-0.08420150347813586,-0.02798050057018065,-0.11323628777264248
1778147817040384197,1778147817.0403843,-0.40483384582052107,0.4521420689240118,0.20991582636092126,-0.08061196447175945,-0.02378513130525394,-0.08419544764676914
1778147817060939863,1778147817.0609398,0.2743374042716207,0.28478087123001194,-0.44379312708591556,-0.08610341336628079,-0.004170004998762819,-0.08833353733294123
1778147817080357686,1778147817.0803578,0.3137297293127618,-0.1652841459300863,-0.5596125001128888,-0.07903314177836766,-0.004976122394325402,-0.09195909489086146
1778147817100413089,1778147817.1004133,-0.14271947991518028,0.11621951778021809,-0.2634769792877649,-0.08163477743897894,-0.007615828511909789,-0.09090366564508133
1778147817120524505,1778147817.1205246,0.40729509172412026,0.04432269278283482,-0.2453028642798324,-0.081889920524797,-0.004636590011627439,-0.09605429952225748
1778147817140414541,1778147817.1404145,0.2430369565431435,-0.5245053597280016,0.09348242946353871,-0.08325166109519558,-0.0114557578754655,-0.09579668818080908
1778147817160577166,1778147817.1605773,0.2090373221849229,0.24463011225739392,0.11170906520581941,-0.0780184631240495,-0.00975834944977317,-0.08463612093870389
1778147817180470312,1778147817.1804705,-0.12810170723821182,-0.0641214657478671,-0.05610180833695233,-0.07521411792325894,-0.021579013134548228,-0.10571191922386013
1778147817200637649,1778147817.2006378,0.221014655035213,-0.04121624983177818,-0.20439644559553008,-0.09275307470398123,-0.00867286340703321,-0.09309538286514209
1778147817223488980,1778147817.223489,-0.14501125011260604,-0.40054766908931083,-0.054907448030415175,-0.07312218592060289,-0.01331531024614282,-0.11114195502334226
1778147817240404697,1778147817.2404048,0.20661611018555517,0.1498745813437098,-0.13170733720440703,-0.08376561529445836,-0.015023517996063277,-0.08613514345076469
